transaction_id,user_id,txn_date,amount,txn_type,status
58,2,2024-12-12,2803.23,Recharge,Success
59,2,2024-12-15,1810.76,Bill Payment,Success
60,2,2024-12-21,2242.6,Bill Payment,Success
61,2,2024-12-22,978.71,P2P,Success
62,2,2024-12-24,1549.91,P2P,Success
63,2,2024-12-29,1449.0,Recharge,Success
64,2,2024-12-30,1693.21,Investment,Reversed
65,3,2024-09-18,2572.6,P2P,Success
66,3,2024-09-23,2070.68,P2P,Success
67,3,2024-09-28,2156.08,P2M,Success
68,3,2024-09-29,1813.08,Bill Payment,Success
69,3,2024-10-03,2570.6,P2P,Success
70,3,2024-10-09,4055.91,Recharge,Success
71,3,2024-10-16,1832.16,P2M,Success
72,3,2024-10-18,976.82,Investment,Success
73,3,2024-10-25,4870.15,P2P,Success
74,3,2024-10-30,1290.93,P2P,Success
75,3,2024-10-31,2318.84,P2P,Reversed
76,3,2024-11-04,1251.19,P2P,Reversed
77,3,2024-11-08,2342.99,Recharge,Success
78,3,2024-11-10,3639.62,P2P,Success
79,3,2024-11-16,3533.76,Bill Payment,Success
80,3,2024-11-19,1051.16,P2P,Success
81,3,2024-11-28,3018.09,P2M,Success
82,3,2024-11-29,3821.58,P2P,Success
83,3,2024-12-02,3457.57,P2P,Success
84,3,2024-12-09,2624.99,P2M,Success
85,3,2024-12-13,2754.75,P2P,Failed
86,3,2024-12-17,3160.22,P2P,Success
87,3,2024-12-18,990.03,P2P,Success
88,3,2024-12-21,4386.62,Bill Payment,Success
89,3,2024-12-24,1536.67,Recharge,Success
90,4,2024-02-28,4572.14,P2P,Success
91,4,2024-03-02,2751.74,P2M,Success
92,4,2024-03-07,2707.8,P2P,Success
93,4,2024-04-03,3372.63,P2P,Success
94,4,2024-04-04,129.68,Recharge,Success
95,4,2024-04-18,432.16,Bill Payment,Success
96,4,2024-04-20,3437.1,P2M,Success
97,4,2024-04-25,955.11,P2P,Success
98,4,2024-05-01,4664.07,Recharge,Success
99,4,2024-05-09,1070.26,P2P,Success
100,4,2024-06-08,1064.97,Recharge,Success
101,4,2024-06-11,4406.61,P2P,Success
102,4,2024-06-17,2157.45,P2P,Success
103,4,2024-07-26,1319.38,Recharge,Success
104,4,2024-07-29,4909.76,Recharge,Success
105,4,2024-08-05,2075.62,Bill Payment,Success
106,4,2024-08-13,2755.19,P2P,Success
107,4,2024-08-15,1743.56,P2P,Success
108,4,2024-08-31,4227.32,P2P,Failed
109,4,2024-09-02,3689.37,P2P,Success
110,4,2024-09-10,3906.44,P2P,Success
111,4,2024-09-13,354.98,P2P,Success
112,4,2024-09-14,821.19,Investment,Success
113,4,2024-10-27,1059.31,P2M,Success
114,4,2024-10-28,1942.65,P2M,Success
115,4,2024-11-03,1115.8,P2P,Success
116,4,2024-11-17,3293.33,Investment,Success
117,4,2024-11-19,4924.38,P2M,Success
118,4,2024-12-03,4367.91,P2P,Success
119,4,2024-12-09,4740.74,Bill Payment,Success
120,4,2024-12-10,707.79,Bill Payment,Failed
121,4,2024-12-23,1749.6,Recharge,Success
122,5,2024-07-17,94.09,P2P,Success
123,5,2024-07-18,2833.96,P2M,Failed
124,5,2024-07-24,174.01,Investment,Success
125,5,2024-07-28,3942.77,P2P,Success
126,5,2024-08-02,2823.26,Recharge,Success
127,5,2024-08-06,1677.56,P2M,Success
128,5,2024-08-15,1924.87,P2M,Success
129,5,2024-08-17,3208.12,P2P,Success
130,5,2024-08-22,4018.31,Recharge,Success
131,5,2024-08-23,2829.77,P2P,Success
132,5,2024-08-30,480.93,Bill Payment,Success
133,5,2024-09-04,2096.51,P2M,Success
134,5,2024-09-13,1748.83,P2M,Success
135,5,2024-09-14,4619.72,Bill Payment,Success
136,5,2024-09-15,4243.95,P2P,Success
137,5,2024-09-21,585.35,P2M,Success
138,5,2024-09-27,2678.43,Recharge,Success
139,5,2024-09-29,1201.7,P2M,Success
140,5,2024-09-30,2539.62,P2M,Success
141,5,2024-10-02,2762.89,P2P,Success
142,5,2024-10-03,1078.03,P2P,Success
143,5,2024-10-06,4219.45,P2M,Success
144,5,2024-10-07,4877.27,P2M,Success
145,5,2024-10-08,2976.01,P2M,Success
146,5,2024-10-14,4834.49,P2P,Success
147,5,2024-10-16,2146.58,P2M,Success
148,5,2024-10-19,4778.11,Bill Payment,Success
149,5,2024-10-21,1269.38,P2P,Reversed
150,5,2024-10-26,3946.26,P2P,Success
151,5,2024-10-28,2088.09,P2P,Success
152,5,2024-10-29,4456.33,P2P,Success
153,5,2024-10-31,487.58,P2P,Success
154,5,2024-11-10,2916.56,P2M,Success
155,5,2024-11-12,4103.59,P2P,Success
156,5,2024-11-20,3351.75,P2P,Success
157,5,2024-11-21,187.11,P2P,Success
158,5,2024-11-25,1253.43,Recharge,Success
159,5,2024-12-02,2910.44,Bill Payment,Failed
160,5,2024-12-03,2080.45,P2M,Reversed
161,5,2024-12-07,4606.76,Bill Payment,Success
162,5,2024-12-08,3579.1,P2P,Success
163,5,2024-12-12,2758.83,Bill Payment,Success
164,5,2024-12-14,1606.83,Bill Payment,Success
165,5,2024-12-15,4256.06,P2M,Success
166,5,2024-12-19,447.97,Investment,Success
167,5,2024-12-29,990.89,Bill Payment,Failed
168,5,2024-12-30,653.74,P2M,Success
169,6,2024-03-24,4600.09,Investment,Success
170,6,2024-04-01,2183.2,P2M,Success
171,6,2024-04-06,839.65,P2P,Failed
172,6,2024-04-12,2079.52,P2M,Success
173,6,2024-04-21,4867.2,P2P,Success
174,6,2024-04-24,2842.55,Recharge,Failed
175,6,2024-04-29,3225.44,Recharge,Success
176,6,2024-05-03,99.19,P2M,Success
177,6,2024-05-04,806.48,Bill Payment,Success
178,6,2024-11-17,3188.78,P2P,Failed
179,6,2024-11-18,1925.43,P2P,Success
180,6,2024-12-01,1012.8,P2P,Success
181,6,2024-12-02,677.82,P2M,Success
182,6,2024-12-03,447.14,P2M,Success
183,6,2024-12-04,3358.66,P2P,Success
184,6,2024-12-06,3315.29,P2P,Success
185,6,2024-12-07,1453.58,P2P,Success
186,6,2024-12-08,4937.54,P2M,Success
187,6,2024-12-10,1311.78,P2P,Success
188,6,2024-12-11,3632.58,Investment,Success
189,6,2024-12-13,728.25,Bill Payment,Success
190,6,2024-12-19,365.68,P2P,Success
191,6,2024-12-22,4196.15,Recharge,Success
192,6,2024-12-23,1958.71,Bill Payment,Success
193,6,2024-12-24,3970.31,P2M,Success
194,6,2024-12-25,1485.67,P2M,Failed
195,6,2024-12-28,4474.67,Recharge,Success
196,7,2024-09-13,3264.43,P2P,Success
197,7,2024-09-17,4605.17,Recharge,Success
198,7,2024-09-18,776.88,P2M,Success
199,7,2024-09-22,389.21,Recharge,Success
200,7,2024-10-16,492.47,Bill Payment,Success
201,7,2024-10-25,2011.02,P2P,Success
202,7,2024-10-31,2691.07,Bill Payment,Success
203,7,2024-11-01,4112.97,Recharge,Success
204,7,2024-11-02,4784.63,Recharge,Success
205,7,2024-11-03,1498.53,P2P,Success
206,7,2024-11-04,4235.37,Recharge,Success
207,7,2024-11-06,4157.85,Bill Payment,Success
208,7,2024-11-07,280.55,P2M,Success
209,7,2024-11-09,507.23,P2M,Success
210,7,2024-11-10,4570.44,P2M,Success
211,7,2024-11-16,781.59,Recharge,Success
212,7,2024-11-18,2815.94,P2M,Success
213,7,2024-11-20,2837.78,Bill Payment,Success
214,7,2024-11-23,1565.52,Recharge,Success
215,7,2024-11-29,1398.01,P2P,Success
216,7,2024-12-01,1618.81,Recharge,Success
217,7,2024-12-03,4839.84,P2P,Success
218,7,2024-12-22,525.32,P2M,Success
219,7,2024-12-23,3419.84,Bill Payment,Success
220,7,2024-12-26,1008.89,P2M,Success
221,7,2024-12-27,3399.29,P2M,Success
222,7,2024-12-30,4907.3,P2M,Success
223,8,2024-12-16,4187.85,P2M,Success
224,8,2024-12-17,3527.93,Recharge,Success
225,8,2024-12-18,4131.89,P2P,Success
226,8,2024-12-19,3324.88,Bill Payment,Reversed
227,8,2024-12-20,662.73,P2P,Success
228,8,2024-12-21,4613.81,Bill Payment,Success
229,8,2024-12-22,1293.06,P2M,Success
230,8,2024-12-23,4433.87,P2M,Success
231,8,2024-12-24,2517.48,Recharge,Success
232,8,2024-12-25,1183.45,P2M,Success
233,8,2024-12-26,1586.5,Bill Payment,Success
234,8,2024-12-27,2488.12,P2M,Success
235,8,2024-12-28,2855.54,Bill Payment,Success
236,8,2024-12-29,1477.21,Bill Payment,Success
237,8,2024-12-30,271.05,P2P,Failed
238,9,2024-07-20,647.49,P2P,Success
239,9,2024-07-27,1311.37,P2M,Reversed
240,9,2024-07-30,3023.34,Recharge,Success
241,9,2024-07-31,280.75,P2M,Success
242,9,2024-08-01,1044.45,Bill Payment,Success
243,9,2024-08-05,97.26,Investment,Success
244,9,2024-08-08,1200.28,P2P,Success
245,9,2024-08-10,1573.46,P2P,Success
246,9,2024-08-18,3247.31,P2P,Success
247,9,2024-08-21,3631.24,P2M,Success
248,9,2024-08-25,1453.22,P2P,Reversed
249,9,2024-08-28,1636.71,P2M,Success
250,9,2024-09-01,2850.7,Recharge,Success
251,9,2024-09-06,3378.72,Bill Payment,Success
252,9,2024-09-10,2496.32,P2M,Success
253,9,2024-09-11,543.11,P2M,Success
254,9,2024-09-17,638.57,P2P,Success
255,9,2024-09-23,1315.24,P2M,Success
256,9,2024-09-29,890.74,Bill Payment,Success
257,9,2024-10-03,1460.88,Investment,Success
258,9,2024-10-04,3050.76,P2M,Success
259,9,2024-10-09,1878.24,P2M,Success
260,9,2024-10-11,1208.22,P2M,Success
261,9,2024-10-15,689.27,P2M,Success
262,9,2024-10-23,3079.07,P2P,Success
263,9,2024-10-27,4256.95,P2M,Success
264,9,2024-11-01,2028.33,P2P,Success
265,9,2024-11-03,2259.52,Recharge,Success
266,9,2024-11-05,1609.75,Recharge,Success
267,9,2024-11-06,3230.11,P2P,Success
268,9,2024-11-09,988.64,Bill Payment,Failed
269,9,2024-11-15,4894.6,Investment,Success
270,9,2024-11-16,562.11,P2M,Success
271,9,2024-11-19,3210.49,Recharge,Success
272,9,2024-11-24,1599.15,P2P,Success
273,9,2024-12-05,3494.93,P2M,Success
274,9,2024-12-06,3725.26,P2P,Success
275,9,2024-12-07,2338.31,P2M,Success
276,9,2024-12-18,3751.56,Recharge,Success
277,9,2024-12-21,4757.8,P2P,Success
278,9,2024-12-22,383.11,Bill Payment,Success
279,9,2024-12-28,4694.0,P2M,Success
280,10,2024-09-04,2246.07,P2M,Success
281,10,2024-09-05,1228.86,Recharge,Success
282,10,2024-09-08,3745.37,P2P,Success
283,10,2024-09-15,410.64,P2M,Success
284,10,2024-09-16,4996.0,Investment,Success
285,10,2024-09-20,3639.04,P2P,Success
286,10,2024-09-22,1239.54,Recharge,Success
287,10,2024-09-23,249.99,P2P,Failed
288,10,2024-09-24,2633.02,P2P,Success
289,10,2024-10-03,4673.2,P2M,Success
290,10,2024-10-04,3397.96,P2M,Success
291,10,2024-10-08,2391.5,P2M,Success
292,10,2024-10-09,3575.31,P2P,Success
293,10,2024-10-18,2425.61,P2M,Success
294,10,2024-10-20,999.85,Recharge,Success
295,10,2024-10-28,1918.09,Recharge,Success
296,10,2024-11-01,598.89,P2M,Success
297,11,2024-10-14,2592.16,P2P,Success
298,11,2024-10-18,593.72,Recharge,Success
299,11,2024-10-19,1094.76,Bill Payment,Success
300,11,2024-10-22,2984.48,P2M,Success
301,11,2024-10-26,1286.04,P2P,Success
302,11,2024-10-28,3543.57,P2P,Success
303,11,2024-11-03,4407.4,P2P,Success
304,11,2024-11-07,3437.19,P2P,Success
305,11,2024-11-09,163.89,Recharge,Failed
306,11,2024-11-10,792.7,P2M,Success
307,11,2024-11-12,2668.44,P2P,Reversed
308,11,2024-11-22,760.63,P2P,Failed
309,11,2024-11-26,4140.36,P2P,Success
310,11,2024-11-28,4723.37,P2M,Success
311,11,2024-11-29,2952.95,P2P,Success
312,11,2024-12-09,1706.38,P2M,Success
313,11,2024-12-16,1775.11,P2P,Success
314,11,2024-12-25,3802.87,Bill Payment,Success
315,11,2024-12-26,4874.13,Recharge,Success
316,12,2024-02-18,3060.57,P2P,Success
317,12,2024-02-21,1541.56,P2M,Success
318,12,2024-03-02,1847.23,P2P,Success
319,12,2024-03-06,2967.55,P2P,Failed
320,12,2024-03-11,664.49,Recharge,Success
321,12,2024-03-18,4706.2,P2P,Success
322,12,2024-03-22,101.74,P2M,Success
323,12,2024-03-23,1706.2,Investment,Success
324,12,2024-03-27,1316.1,Bill Payment,Success
325,12,2024-03-28,4633.35,P2M,Success
326,12,2024-03-31,1400.46,P2P,Success
327,12,2024-11-16,1564.17,P2P,Failed
328,12,2024-11-17,1105.63,P2P,Success
329,12,2024-11-20,86.66,Recharge,Success
330,12,2024-11-21,1271.75,P2M,Success
331,12,2024-12-05,2687.64,P2M,Success
332,12,2024-12-06,2357.13,Bill Payment,Success
333,12,2024-12-11,4610.65,P2P,Success
334,14,2024-04-29,4181.83,Bill Payment,Failed
335,14,2024-05-01,2964.51,P2P,Success
336,14,2024-05-14,1341.65,Recharge,Success
337,14,2024-05-17,1961.14,Bill Payment,Success
338,14,2024-05-21,820.48,P2P,Success
339,14,2024-05-26,1171.75,Bill Payment,Success
340,14,2024-05-29,4460.55,P2P,Failed
341,14,2024-05-30,2329.23,Recharge,Failed
342,14,2024-05-31,1140.31,P2M,Failed
343,14,2024-06-01,4737.39,Bill Payment,Failed
344,14,2024-06-10,2312.84,Investment,Success
345,15,2024-08-20,3511.41,Recharge,Success
346,15,2024-08-24,264.63,P2P,Success
347,15,2024-08-25,3486.74,Recharge,Success
348,15,2024-08-30,3127.63,P2P,Success
349,15,2024-09-01,2794.74,Bill Payment,Failed
350,15,2024-09-06,455.67,P2P,Success
351,15,2024-09-20,802.13,Recharge,Success
352,15,2024-09-21,2729.3,P2P,Success
353,15,2024-09-22,2734.28,P2M,Success
354,15,2024-09-24,3027.72,P2P,Success
355,15,2024-09-25,3305.98,P2P,Success
356,15,2024-09-27,495.24,P2P,Success
357,15,2024-09-30,2981.46,P2P,Success
358,15,2024-10-03,3809.25,P2P,Success
359,15,2024-10-05,100.75,P2P,Success
360,15,2024-10-10,2312.26,P2P,Reversed
361,15,2024-10-12,4590.86,P2M,Success
362,15,2024-10-13,3911.6,Bill Payment,Success
363,15,2024-10-14,4171.79,P2M,Success
364,15,2024-10-18,70.13,P2M,Success
365,15,2024-10-20,363.22,P2M,Success
366,15,2024-10-22,572.3,P2P,Failed
367,15,2024-10-24,2039.06,Bill Payment,Success
368,15,2024-10-26,3039.46,P2P,Success
369,15,2024-10-30,3127.69,P2P,Success
370,15,2024-11-02,1963.15,Bill Payment,Success
371,15,2024-11-15,3607.72,Bill Payment,Success
372,15,2024-11-18,4513.48,Recharge,Success
373,15,2024-11-19,2448.4,P2P,Success
374,15,2024-11-28,1944.95,P2M,Failed
375,15,2024-11-29,3023.43,P2P,Failed
376,15,2024-12-03,3982.52,P2P,Success
377,15,2024-12-07,3152.87,P2M,Success
378,15,2024-12-15,2558.62,P2M,Reversed
379,15,2024-12-19,726.09,P2P,Success
380,15,2024-12-23,3674.68,P2M,Reversed
381,15,2024-12-29,873.68,P2P,Success
382,16,2024-03-17,4952.73,Recharge,Failed
383,16,2024-03-21,2759.68,P2M,Success
384,16,2024-04-07,4279.35,Bill Payment,Success
385,16,2024-04-09,1140.64,P2P,Success
386,16,2024-04-16,938.1,P2P,Success
387,16,2024-04-16,131.01,P2M,Failed
388,16,2024-04-17,3923.4,Bill Payment,Failed
389,16,2024-04-18,3536.5,P2P,Success
390,16,2024-04-18,3949.21,P2P,Failed
391,16,2024-04-19,3954.38,Recharge,Success
392,16,2024-04-22,3970.42,P2P,Success
393,16,2024-04-23,2808.24,Recharge,Success
394,16,2024-04-25,1456.47,P2P,Success
395,16,2024-11-17,212.32,Bill Payment,Success
396,16,2024-11-18,422.73,Bill Payment,Success
397,16,2024-11-24,4307.5,P2P,Success
398,16,2024-11-25,695.91,P2P,Success
399,16,2024-12-04,1845.08,P2P,Success
400,16,2024-12-08,585.73,P2M,Reversed
401,16,2024-12-09,3280.45,P2P,Success
402,16,2024-12-10,2530.44,P2P,Reversed
403,16,2024-12-14,4708.0,P2P,Success
404,16,2024-12-15,265.62,P2P,Success
405,16,2024-12-16,4970.75,P2P,Success
406,16,2024-12-19,3628.41,P2M,Success
407,16,2024-12-22,1012.61,Recharge,Success
408,16,2024-12-25,1362.99,P2P,Success
409,16,2024-12-27,2704.35,P2P,Success
410,16,2024-12-29,1870.9,P2P,Success
411,16,2024-12-30,2572.78,P2P,Success
412,17,2024-07-19,75.72,P2M,Success
413,17,2024-07-24,3757.64,Bill Payment,Success
414,17,2024-08-02,2137.34,P2P,Success
415,17,2024-08-04,2560.11,P2M,Success
416,17,2024-08-08,1131.0,P2M,Success
417,17,2024-08-11,4234.09,Investment,Success
418,17,2024-08-15,2293.36,Bill Payment,Success
419,17,2024-08-20,2725.56,Bill Payment,Success
420,17,2024-08-21,1433.97,P2M,Success
421,17,2024-08-26,1388.56,P2P,Success
422,17,2024-09-05,4056.08,Recharge,Success
423,17,2024-09-12,4117.09,P2P,Failed
424,17,2024-09-15,2520.86,P2M,Success
425,17,2024-09-18,1153.26,Recharge,Success
426,17,2024-09-23,2910.15,Recharge,Success
427,17,2024-09-24,3780.11,Bill Payment,Success
428,17,2024-09-28,4064.69,P2M,Success
429,17,2024-09-30,4027.32,P2M,Success
430,17,2024-10-01,2088.99,P2P,Success
431,17,2024-10-02,4849.75,P2P,Success
432,17,2024-10-03,697.38,P2M,Success
433,17,2024-10-07,3451.26,P2P,Success
434,17,2024-10-08,356.16,P2P,Success
435,17,2024-10-13,4534.1,Bill Payment,Success
436,17,2024-10-20,478.65,Recharge,Success
437,17,2024-10-26,3854.79,P2M,Success
438,17,2024-10-28,1360.76,P2P,Success
439,17,2024-11-01,2495.81,Investment,Success
440,17,2024-11-03,2971.24,P2M,Success
441,17,2024-11-06,1682.22,P2M,Success
442,17,2024-11-12,1205.61,P2P,Success
443,17,2024-11-16,4189.99,Recharge,Success
444,17,2024-11-20,3249.19,Recharge,Success
445,17,2024-11-22,686.95,P2P,Success
446,17,2024-11-24,4079.07,Recharge,Success
447,17,2024-11-25,1701.14,Recharge,Success
448,17,2024-11-28,742.28,P2P,Success
449,17,2024-12-01,3588.47,P2M,Success
450,17,2024-12-04,760.22,P2M,Success
451,17,2024-12-07,4587.99,P2M,Success
452,17,2024-12-08,4893.66,P2M,Success
453,17,2024-12-09,643.96,P2P,Success
454,17,2024-12-13,3081.53,P2P,Success
455,17,2024-12-16,2663.64,P2M,Success
456,17,2024-12-20,1130.25,Recharge,Success
457,17,2024-12-21,1810.13,Bill Payment,Reversed
458,17,2024-12-22,183.34,Recharge,Success
459,18,2024-07-26,1252.49,Bill Payment,Success
460,18,2024-07-28,524.17,P2M,Success
461,18,2024-07-30,4362.23,P2M,Failed
462,18,2024-08-06,1768.75,P2P,Success
463,18,2024-08-17,3904.42,Recharge,Success
464,18,2024-08-23,4825.33,Investment,Success
465,18,2024-08-24,4414.65,P2M,Success
466,18,2024-08-27,814.12,P2P,Success
467,18,2024-09-05,3473.26,P2P,Success
468,18,2024-09-09,605.4,Bill Payment,Success
469,18,2024-09-12,2069.49,Bill Payment,Failed
470,18,2024-09-14,3556.08,Bill Payment,Reversed
471,18,2024-09-16,4889.5,P2P,Success
472,18,2024-09-18,2104.64,P2P,Success
473,20,2024-08-19,4613.3,Bill Payment,Success
474,20,2024-08-20,4696.54,P2P,Success
475,20,2024-08-22,2186.55,P2M,Success
476,20,2024-08-23,4086.34,P2P,Success
477,20,2024-08-24,3020.64,Investment,Success
478,20,2024-08-31,3104.04,Bill Payment,Success
479,20,2024-09-08,821.74,P2P,Success
480,20,2024-09-10,2499.78,P2M,Success
481,20,2024-09-13,3578.93,P2P,Success
482,20,2024-09-14,3817.64,Bill Payment,Success
483,20,2024-09-15,3739.88,Investment,Success
484,20,2024-09-19,3240.19,P2P,Failed
485,20,2024-09-20,3176.46,P2M,Success
486,20,2024-09-24,1115.53,Recharge,Success
487,20,2024-09-25,3947.98,Recharge,Success
488,20,2024-10-12,353.64,Recharge,Success
489,20,2024-10-15,1421.31,P2M,Success
490,20,2024-10-16,3552.86,Recharge,Success
491,20,2024-10-19,4762.92,P2M,Success
492,20,2024-10-20,3879.56,P2P,Success
493,20,2024-10-26,4556.62,P2M,Failed
494,20,2024-10-27,1161.96,P2P,Success
495,20,2024-10-31,2445.74,P2P,Success
496,20,2024-11-06,4754.67,P2M,Success
497,20,2024-11-07,1072.78,P2P,Success
498,20,2024-11-16,1776.73,P2M,Success
499,20,2024-11-17,1616.83,P2M,Reversed
500,20,2024-11-19,490.89,Bill Payment,Success
501,20,2024-11-24,916.32,P2M,Success
502,20,2024-11-25,3221.65,Recharge,Success
503,20,2024-11-27,1943.13,Investment,Success
504,20,2024-11-29,188.36,P2P,Success
505,20,2024-12-03,463.34,P2M,Success
506,20,2024-12-05,4865.98,P2M,Success
507,20,2024-12-07,4855.12,P2M,Success
508,20,2024-12-13,450.33,Bill Payment,Success
509,20,2024-12-14,3139.94,Recharge,Success
510,20,2024-12-17,4315.86,Bill Payment,Success
511,20,2024-12-20,716.76,P2M,Success
512,20,2024-12-21,2726.44,P2M,Success
513,20,2024-12-24,1992.66,P2M,Success
514,20,2024-12-27,4513.75,P2M,Success
515,20,2024-12-28,3087.99,P2M,Success
516,21,2024-12-21,4745.51,P2M,Success
517,21,2024-12-22,4387.3,Bill Payment,Failed
518,21,2024-12-23,3664.16,P2M,Success
519,21,2024-12-24,2117.55,Bill Payment,Success
520,21,2024-12-25,3711.31,P2M,Success
521,21,2024-12-26,778.78,P2P,Success
522,21,2024-12-27,1880.75,P2P,Success
523,21,2024-12-28,1863.47,P2P,Success
524,21,2024-12-29,3539.39,Bill Payment,Success
525,21,2024-12-30,634.54,P2P,Failed
526,22,2024-06-01,2955.55,P2M,Success
527,22,2024-06-10,3219.18,Recharge,Success
528,22,2024-06-12,1430.54,P2M,Success
529,22,2024-06-15,257.48,P2M,Success
530,22,2024-06-17,85.72,Bill Payment,Success
531,22,2024-06-19,782.0,P2M,Success
532,22,2024-06-22,1380.34,Bill Payment,Reversed
533,22,2024-06-27,4663.86,P2P,Success
534,22,2024-06-30,4883.34,Bill Payment,Success
535,22,2024-07-01,2013.71,P2P,Failed
536,22,2024-07-02,768.71,P2P,Failed
537,22,2024-07-03,171.72,P2P,Failed
538,22,2024-07-04,3731.06,P2P,Failed
539,22,2024-07-08,3967.26,Recharge,Success
540,22,2024-07-12,822.32,P2P,Success
541,22,2024-07-18,847.46,P2P,Failed
542,22,2024-07-22,572.75,P2M,Success
543,23,2024-06-09,3405.56,Investment,Success
544,23,2024-06-13,50.69,P2P,Success
545,23,2024-06-14,4877.43,P2M,Success
546,23,2024-06-15,4926.14,Recharge,Success
547,23,2024-06-19,4385.61,P2M,Success
548,23,2024-06-24,2763.25,Recharge,Success
549,23,2024-06-27,2039.54,Recharge,Success
550,23,2024-06-29,3438.64,P2P,Success
551,23,2024-07-01,1601.68,Recharge,Success
552,23,2024-07-14,1356.39,P2P,Reversed
553,23,2024-07-18,3781.41,P2M,Success
554,23,2024-07-23,273.77,P2P,Success
555,23,2024-07-27,2904.82,P2P,Failed
556,23,2024-07-29,1242.47,P2P,Success
557,24,2024-07-20,1953.1,P2M,Success
558,24,2024-07-29,2419.99,Recharge,Success
559,24,2024-08-04,3966.74,P2P,Success
560,24,2024-08-05,409.66,Bill Payment,Success
561,24,2024-08-11,3863.61,P2P,Success
562,24,2024-08-16,114.29,P2P,Success
563,24,2024-08-17,327.39,P2M,Success
564,24,2024-08-24,3651.55,Bill Payment,Success
565,24,2024-08-26,422.09,P2M,Success
566,24,2024-08-28,1563.17,P2P,Success
567,24,2024-08-29,2617.07,P2P,Success
568,24,2024-08-31,1358.62,P2P,Success
569,24,2024-09-03,1293.93,P2P,Success
570,24,2024-09-06,1945.56,P2P,Success
571,24,2024-09-17,3303.01,Recharge,Success
572,25,2024-05-01,846.91,P2M,Success
573,25,2024-05-09,2769.52,Recharge,Success
574,25,2024-05-15,4386.27,P2M,Success
575,25,2024-05-16,4286.54,P2M,Success
576,25,2024-05-18,2523.6,P2P,Success
577,25,2024-05-23,3324.7,Recharge,Success
578,25,2024-05-31,4211.89,Recharge,Success
579,25,2024-06-11,3866.23,Bill Payment,Success
580,25,2024-06-15,2078.75,Bill Payment,Success
581,25,2024-06-25,4939.73,P2M,Reversed
582,25,2024-07-02,2357.0,Recharge,Success
583,25,2024-07-11,4686.37,Investment,Success
584,25,2024-07-22,4897.65,Bill Payment,Success
585,25,2024-07-28,65.4,Bill Payment,Success
586,25,2024-08-25,1195.32,P2M,Success
587,25,2024-09-01,2111.03,Bill Payment,Success
588,25,2024-09-09,3138.51,P2P,Success
589,25,2024-09-14,1983.9,Recharge,Success
590,25,2024-09-25,4395.28,P2M,Success
591,25,2024-09-30,235.28,P2M,Success
592,25,2024-10-08,3051.65,P2P,Success
